Datum;Tag;Monat;Stunde;Verbrauch
19.01. 06:00;19;01;06;0,061158
19.01. 07:00;19;01;07;0,070411
19.01. 08:00;19;01;08;0,07485
19.01. 09:00;19;01;09;0,11479
19.01. 10:00;19;01;10;0,16108
19.01. 11:00;19;01;11;0,17688
19.01. 12:00;19;01;12;0,17329
19.01. 13:00;19;01;13;0,18164
19.01. 14:00;19;01;14;0,17894
19.01. 15:00;19;01;15;0,18167
19.01. 16:00;19;01;16;0,19697
19.01. 17:00;19;01;17;0,22259
19.01. 18:00;19;01;18;0,2339
19.01. 19:00;19;01;19;0,22691
19.01. 20:00;19;01;20;0,22006
19.01. 21:00;19;01;21;0,18997
19.01. 22:00;19;01;22;0,1266
19.01. 23:00;19;01;23;0,085281
20.01. 00:00;20;01;00;0,066374
20.01. 01:00;20;01;01;0,049198
20.01. 02:00;20;01;02;0,037437
20.01. 03:00;20;01;03;0,033275
20.01. 04:00;20;01;04;0,032648
20.01. 05:00;20;01;05;0,029965
20.01. 06:00;20;01;06;0,050351
20.01. 07:00;20;01;07;0,053962
20.01. 08:00;20;01;08;0,047192
20.01. 09:00;20;01;09;0,087237
20.01. 10:00;20;01;10;0,13172
20.01. 11:00;20;01;11;0,1484
20.01. 12:00;20;01;12;0,14677
20.01. 13:00;20;01;13;0,1502
20.01. 14:00;20;01;14;0,15527
20.01. 15:00;20;01;15;0,14902
20.01. 16:00;20;01;16;0,15456
20.01. 17:00;20;01;17;0,17776
20.01. 18:00;20;01;18;0,19336
20.01. 19:00;20;01;19;0,20043
20.01. 20:00;20;01;20;0,19762
20.01. 21:00;20;01;21;0,17239
20.01. 22:00;20;01;22;0,11673
20.01. 23:00;20;01;23;0,075125
21.01. 00:00;21;01;00;0,063716
21.01. 01:00;21;01;01;0,039619
21.01. 02:00;21;01;02;0,033074
21.01. 03:00;21;01;03;0,031595
21.01. 04:00;21;01;04;0,031444
21.01. 05:00;21;01;05;0,028511
21.01. 06:00;21;01;06;0,062813
21.01. 07:00;21;01;07;0,082071
21.01. 08:00;21;01;08;0,088641
21.01. 09:00;21;01;09;0,11966
21.01. 10:00;21;01;10;0,16066
21.01. 11:00;21;01;11;0,16958
21.01. 12:00;21;01;12;0,15742
21.01. 13:00;21;01;13;0,15386
21.01. 14:00;21;01;14;0,15973
21.01. 15:00;21;01;15;0,18393
21.01. 16:00;21;01;16;0,20344
21.01. 17:00;21;01;17;0,23287
21.01. 18:00;21;01;18;0,25103
21.01. 19:00;21;01;19;0,24754
21.01. 20:00;21;01;20;0,2418
21.01. 21:00;21;01;21;0,21249
21.01. 22:00;21;01;22;0,15807
21.01. 23:00;21;01;23;0,10544
22.01. 00:00;22;01;00;0,063716
22.01. 01:00;22;01;01;0,039619
22.01. 02:00;22;01;02;0,033074
22.01. 03:00;22;01;03;0,031595
22.01. 04:00;22;01;04;0,031444
22.01. 05:00;22;01;05;0,028511
22.01. 06:00;22;01;06;0,062813
22.01. 07:00;22;01;07;0,082071
22.01. 08:00;22;01;08;0,088641
22.01. 09:00;22;01;09;0,11966
22.01. 10:00;22;01;10;0,16066
22.01. 11:00;22;01;11;0,16958
22.01. 12:00;22;01;12;0,15742
22.01. 13:00;22;01;13;0,15386
22.01. 14:00;22;01;14;0,15973
22.01. 15:00;22;01;15;0,18393
22.01. 16:00;22;01;16;0,20344
22.01. 17:00;22;01;17;0,23287
22.01. 18:00;22;01;18;0,25103
22.01. 19:00;22;01;19;0,24754
22.01. 20:00;22;01;20;0,2418
22.01. 21:00;22;01;21;0,21249
22.01. 22:00;22;01;22;0,15807
22.01. 23:00;22;01;23;0,10544
23.01. 00:00;23;01;00;0,063716
23.01. 01:00;23;01;01;0,039619
23.01. 02:00;23;01;02;0,033074
23.01. 03:00;23;01;03;0,031595
23.01. 04:00;23;01;04;0,031444
23.01. 05:00;23;01;05;0,028511
